# file...... substation_configuration.csv
# date...... Fri Mar 10 03:52:55 2017
# user...... huan495
# host...... (null)
# target.... transformer_configuration 37
# trigger... (none)
# interval.. 1
# limit..... 100000000
# timestamp,primary_voltage, secondary_voltage
2001-01-01 00:00:00 PST,+80000,+2401.7771
2001-01-01 00:00:01 PST,+80000,+2401.7771
2001-01-01 00:00:02 PST,+80000,+2401.7771
2001-01-01 00:00:03 PST,+81000,+2411.7771
2001-01-01 00:00:04 PST,+82000,+2421.7771
2001-01-01 00:00:05 PST,+83000,+2431.7771
2001-01-01 00:00:06 PST,+84000,+2441.7771
2001-01-01 00:00:07 PST,+85000,+2451.7771
2001-01-01 00:00:08 PST,+84000,+2441.7771
2001-01-01 00:00:09 PST,+83000,+2431.7771
2001-01-01 00:00:10 PST,+82000,+2421.7771
