# file...... Output/DG_56.csv
# date...... Fri Feb  9 15:44:51 2018
# user...... admsuser
# host...... (null)
# target.... load 16
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,constant_power_A_real,constant_power_B_real,constant_power_C_real
2010-08-16 00:00:00 UTC,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0
2010-08-16 00:02:30 UTC,+0,+0,+0
2010-08-16 00:03:00 UTC,+0,+0,+0
2010-08-16 00:03:30 UTC,+0,+0,+0
2010-08-16 00:04:00 UTC,+0,+0,+0
2010-08-16 00:04:30 UTC,+0,+0,+0
2010-08-16 00:05:00 UTC,-37048.4274918,-37048.4274918,-37048.4274918
2010-08-16 00:05:30 UTC,-37048.4274918,-37048.4274918,-37048.4274918
2010-08-16 00:06:00 UTC,-37048.4274918,-37048.4274918,-37048.4274918
2010-08-16 00:06:30 UTC,-37048.4274918,-37048.4274918,-37048.4274918
2010-08-16 00:07:00 UTC,-37048.4274918,-37048.4274918,-37048.4274918
2010-08-16 00:07:30 UTC,-37048.4274918,-37048.4274918,-37048.4274918
2010-08-16 00:08:00 UTC,-37048.4274918,-37048.4274918,-37048.4274918
2010-08-16 00:08:30 UTC,-37048.4274918,-37048.4274918,-37048.4274918
2010-08-16 00:09:00 UTC,-37048.4274918,-37048.4274918,-37048.4274918
2010-08-16 00:09:30 UTC,-37048.4274918,-37048.4274918,-37048.4274918
2010-08-16 00:10:00 UTC,-36009.1705048,-36009.1705048,-36009.1705048
2010-08-16 00:10:30 UTC,-36009.1705048,-36009.1705048,-36009.1705048
2010-08-16 00:11:00 UTC,-36009.1705048,-36009.1705048,-36009.1705048
2010-08-16 00:11:30 UTC,-36009.1705048,-36009.1705048,-36009.1705048
2010-08-16 00:12:00 UTC,-36009.1705048,-36009.1705048,-36009.1705048
2010-08-16 00:12:30 UTC,-36009.1705048,-36009.1705048,-36009.1705048
2010-08-16 00:13:00 UTC,-36009.1705048,-36009.1705048,-36009.1705048
2010-08-16 00:13:30 UTC,-36009.1705048,-36009.1705048,-36009.1705048
2010-08-16 00:14:00 UTC,-36009.1705048,-36009.1705048,-36009.1705048
2010-08-16 00:14:30 UTC,-36009.1705048,-36009.1705048,-36009.1705048
2010-08-16 00:15:00 UTC,-35704.9774085,-35704.9774085,-35704.9774085
2010-08-16 00:15:30 UTC,-35704.9774085,-35704.9774085,-35704.9774085
2010-08-16 00:16:00 UTC,-35704.9774085,-35704.9774085,-35704.9774085
2010-08-16 00:16:30 UTC,-35704.9774085,-35704.9774085,-35704.9774085
2010-08-16 00:17:00 UTC,-35704.9774085,-35704.9774085,-35704.9774085
2010-08-16 00:17:30 UTC,-35704.9774085,-35704.9774085,-35704.9774085
2010-08-16 00:18:00 UTC,-35704.9774085,-35704.9774085,-35704.9774085
2010-08-16 00:18:30 UTC,-35704.9774085,-35704.9774085,-35704.9774085
2010-08-16 00:19:00 UTC,-35704.9774085,-35704.9774085,-35704.9774085
2010-08-16 00:19:30 UTC,-35704.9774085,-35704.9774085,-35704.9774085
2010-08-16 00:20:00 UTC,-35282.6599063,-35282.6599063,-35282.6599063
2010-08-16 00:20:30 UTC,-35282.6599063,-35282.6599063,-35282.6599063
2010-08-16 00:21:00 UTC,-35282.6599063,-35282.6599063,-35282.6599063
2010-08-16 00:21:30 UTC,-35282.6599063,-35282.6599063,-35282.6599063
2010-08-16 00:22:00 UTC,-35282.6599063,-35282.6599063,-35282.6599063
2010-08-16 00:22:30 UTC,-35282.6599063,-35282.6599063,-35282.6599063
2010-08-16 00:23:00 UTC,-35282.6599063,-35282.6599063,-35282.6599063
2010-08-16 00:23:30 UTC,-35282.6599063,-35282.6599063,-35282.6599063
2010-08-16 00:24:00 UTC,-35282.6599063,-35282.6599063,-35282.6599063
2010-08-16 00:24:30 UTC,-35282.6599063,-35282.6599063,-35282.6599063
2010-08-16 00:25:00 UTC,-35128.2604862,-35128.2604862,-35128.2604862
2010-08-16 00:25:30 UTC,-35128.2604862,-35128.2604862,-35128.2604862
2010-08-16 00:26:00 UTC,-35128.2604862,-35128.2604862,-35128.2604862
2010-08-16 00:26:30 UTC,-35128.2604862,-35128.2604862,-35128.2604862
2010-08-16 00:27:00 UTC,-35128.2604862,-35128.2604862,-35128.2604862
2010-08-16 00:27:30 UTC,-35128.2604862,-35128.2604862,-35128.2604862
2010-08-16 00:28:00 UTC,-35128.2604862,-35128.2604862,-35128.2604862
2010-08-16 00:28:30 UTC,-35128.2604862,-35128.2604862,-35128.2604862
2010-08-16 00:29:00 UTC,-35128.2604862,-35128.2604862,-35128.2604862
2010-08-16 00:29:30 UTC,-35128.2604862,-35128.2604862,-35128.2604862
2010-08-16 00:30:00 UTC,-34901.1014281,-34901.1014281,-34901.1014281
2010-08-16 00:30:30 UTC,-34901.1014281,-34901.1014281,-34901.1014281
2010-08-16 00:31:00 UTC,-34901.1014281,-34901.1014281,-34901.1014281
